ID_Kamar,Harga,Luas_m2,Fasilitas,Lokasi,Status
KOS001,621958.0,,Kipas Angin,Pinggir Kota,
KOS002,1171155.0,11.0,Kipas Angin,Dekat Kampus,Kosong
KOS003,631932.0,18.0,AC,Pusat Kota,Terisi
KOS004,1914414.0,20.0,AC,Pusat Kota,Terisi
KOS005,759178.0,16.0,Non-AC,Pinggir Kota,Terisi
KOS006,,23.0,,Dekat Kampus,Terisi
KOS007,610268.0,,AC,Pinggir Kota,Terisi
KOS008,1232180.0,14.0,AC,Dekat Kampus,Terisi
KOS009,1603462.0,24.0,AC,,
KOS010,637337.0,24.0,Kipas Angin,Pusat Kota,Terisi
KOS011,1499890.0,16.0,AC,Pusat Kota,Terisi
KOS012,2070006.0,17.0,Non-AC,Pusat Kota,
KOS013,,12.0,Non-AC,Pinggir Kota,Terisi
KOS014,2447735.0,,AC,Dekat Kampus,Terisi
KOS015,1412756.0,22.0,,,
KOS016,675203.0,9.0,AC,Pinggir Kota,Kosong
KOS017,1739911.0,18.0,Non-AC,Dekat Kampus,
KOS018,778167.0,12.0,AC,Pusat Kota,Terisi
KOS019,541090.0,20.0,AC,Dekat Kampus,
KOS020,829365.0,,Non-AC,,Kosong
KOS021,,15.0,AC,,Kosong
KOS022,1287201.0,10.0,AC,Dekat Kampus,Terisi
KOS023,1870455.0,11.0,,Pinggir Kota,
KOS024,2266891.0,9.0,AC,Dekat Kampus,Terisi
KOS025,827069.0,,Kipas Angin,Pusat Kota,Kosong
KOS026,2325573.0,9.0,AC,Pinggir Kota,Terisi
KOS027,1747617.0,16.0,Non-AC,Dekat Kampus,Terisi
KOS028,1291743.0,9.0,,Pusat Kota,
KOS029,603355.0,19.0,Non-AC,Pinggir Kota,Kosong
KOS030,1784372.0,9.0,AC,Pinggir Kota,Terisi
KOS031,1762752.0,10.0,AC,Dekat Kampus,Terisi
KOS032,684779.0,10.0,,,Terisi
KOS033,1896025.0,,Kipas Angin,Dekat Kampus,Terisi
KOS034,1970485.0,14.0,Kipas Angin,Pusat Kota,Terisi
KOS035,,15.0,AC,Dekat Kampus,Terisi
KOS036,,13.0,AC,Pinggir Kota,Terisi
KOS037,986232.0,24.0,,Pinggir Kota,Terisi
KOS038,1417040.0,9.0,Non-AC,Dekat Kampus,Terisi
KOS039,2048762.0,,AC,Dekat Kampus,Terisi
KOS040,656730.0,11.0,Kipas Angin,Pinggir Kota,Terisi
